10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\newtonsoft.json.dll (Json.NET, Json.NET is a popular high-performance JSON framework for .NET)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\oauthlinkedin.dll (OAuthLinkedIn)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\protobuf-net.dll (protobuf-net, Protocol Buffers for .NET)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\radeditor.net2.dll (RadEditor, Telerik RadEditor)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.abstractions.dll (Sitecore Buckets, 1.0.0 rev. 140127)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.aggregation.dll (Sitecore CMS, 8.0 rev. 150621)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.automation.aggregation.dll (Sitecore CMS, 8.0 rev. 150621)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.automation.dll (Sitecore EAS, Sitecore Engagement Automation Suite, 8.0 rev. 150621)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.automation.mongodb.dll (Sitecore CMS, 8.0 rev. 150621)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.core.dll (Sitecore CMS, 8.0 rev. 150621)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.dataaccess.dll (Sitecore CMS, 8.0 rev. 150621)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.dll (Sitecore DMS, Sitecore Digital Marketing System, 8.0 rev. 150621)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.model.dll (Sitecore CMS, 8.0 rev. 150621)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.mongodb.dll (Sitecore DMS, Sitecore Digital Marketing System MongoDB Connector, 8.0 rev. 150621)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.omnichannel.dll (Sitecore Analytics Channel Provider, 8.0 rev. 150621)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.outcome.dll (Sitecore.Analytics.Outcome, 8.0 rev. 150621)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.processing.dll (Sitecore CMS, 8.0 rev. 150621)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.robotdetection.dll (Sitecore Robot Detection, 1.0.0 rev. 150205)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.sql.dll (Sitecore CMS, 8.0 rev. 150621)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.apps.loader.dll (Sitecore.Apps.Loader, 1.0.0 rev. 130822)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.apps.taginjection.dll (Sitecore Tag Management, 1.0.0 rev. 140814)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.buckets.client.dll (Sitecore Buckets, The assembly can be used to have Sitecore queries driven via a query, 1.0.0 rev. 150612)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.buckets.dll (Sitecore Buckets, The assembly can be used to have Sitecore queries driven via search providers, 1.0.0 rev. 150612)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cintel.client.dll (Sitecore Experience Profile, 1.0.0 rev. 150205)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cintel.dll (Sitecore Experience Profile, 1.0.0 rev. 150205)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.client.dll (Sitecore CMS, Sitecore Client Application, 8.0 rev. 150621)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.client.licenseoptions.dll (Sitecore Speak Applications, 1.3.1 rev. 150529)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cloud.contentsearch.dll (Sitecore.Cloud.ContentSearch, 8.0 rev. 150403)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cloud.nexus.dll (Sitecore.Cloud.Nexus)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cloud.restclient.dll (Sitecore.Cloud.RestClient)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cloud.servicemodel.dll (Sitecore.Cloud.ServiceModel)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cloud.xdb.dll (Sitecore.Cloud.Xdb, 8.0 rev. 150612)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cloud.xdb.servicemodel.dll (Sitecore.Cloud.ScS.Xdb.Discovery.ServiceModel)
